collocate,raw_frequency,MI
eloquent,2,5.232458836008394
ord,1,9.712094502073711
cried,1,1.092611257789564
bless,4,4.243847442554613
afraid,4,3.173593365420974
sha,3,6.617605750071808
company,1,1.9731707446342548
agreeable,2,3.8633568754288765
professor,11,5.484026774285662
favorite,3,5.858500601720066
engaged,9,4.717423666428342
transaction,1,5.010464049898058
merciful,2,5.373653674857984
holt,1,3.770773162970043
iam,1,9.710944415690474
lady,1,0.09641944859964673
handsome,1,2.3439544922870255
generous,1,3.0726324214079463
frank,2,3.0683047689260396
kind,1,1.0521447073117096
ev,1,7.513719838354255
whip,11,6.403678853862522
hotly,13,7.95812983558968
george,8,3.6148632718050924
bursting,3,5.713510291291471
ts,13,11.569047748233904
followed,1,1.8392517513668292
untimely,1,5.798921410262328
grave,1,2.273738048819182
gallant,7,5.985840712626449
gen,1,6.18573397745755
officer,1,3.216721177963322
king,1,1.8970239786277046
william,1,2.5649599479760865
beloved,1,3.3594450580807775
en,3,4.988164900064328
mohun,2,5.468468897915855
fell,10,3.7918630249309677
dragging,8,6.70719836141293
wrote,1,2.335062267475462
je,5,6.318582890353554
scay,7,11.649981685458025
que,1,4.7480997854305675
vous,3,5.455402358622167
etes,1,6.666421977967051
ment,1,6.37873990551527
batew,1,9.710944415690474
grievement,1,9.710944415690474
blessay,1,9.710944415690474
du,2,5.55321141871404
cost,1,3.259620913786062
clement,1,6.1555963542010605
sovereign,1,4.065497518047237
happy,1,1.5357300888326775
thankful,1,3.7371348038212133
free,2,2.738737903863037
knew,3,1.6131613901639397
army,1,3.078140331240704
prince,1,2.2608528170860356
cutts,2,5.996223583782293
commanded,3,5.318322765941548
along,1,1.5243216008395124
hundred,6,3.7143722450724583
possession,9,5.08013884762901
its,6,2.0448700149740007
defenders,2,7.358420393323123
prisoners,1,4.630690137089249
fled,1,3.69235120119424
paris,5,4.56466960779186
hector,3,7.374420734669564
webb,2,5.681312080624274
verses,13,6.672342378353604
perfect,1,2.226602894042957
gentleman,2,1.9123218476342967
either,1,1.6967671930519932
looking,2,1.394496073188114
bel,2,7.763885501431288
ablest,7,9.165075035670025
lieutenants,2,7.458503851880106
rancor,2,8.205718253710327
times,6,3.3882491774034627
taller,2,5.566660924095069
handsomer,6,7.15316778835586
prodigal,1,5.3426466496066904
nature,1,1.4444109900461233
plebeia,1,9.710944415690474
favori,1,9.710944415690474
field,8,4.829253350211835
says,1,1.1483368666759228
esmond,1,2.256799344180765
wh,2,9.712094502073711
hat,8,4.060208637027788
marlborough,1,4.91860810496182
victorious,1,5.3957577991424435
kinsman,3,4.877311516910574
pleased,10,4.509945911666467
vainglory,7,9.859364420808747
nowise,3,6.915440193987608
skill,2,4.45459913004593
superintending,2,7.358420393323123
general,2,2.540440330801768
fighting,3,4.521901130228852
common,2,2.780001440630004
lu,2,7.2248890006986
heroes,1,4.61834430126695
warriors,3,5.745812906127744
brilliant,1,2.965682373500338
live,5,3.1555875238798095
duke,8,4.810906826780795
vendosme,5,9.706357251683569
