collocate,raw_frequency,MI
welcome,3,3.609620865618301
college,1,3.147787867235489
left,12,2.711478338791386
pleasant,3,2.9478318403762054
recollection,1,3.5395942264126132
found,11,2.7720803701178873
sycophancy,1,8.687088703226067
established,1,3.349550623524748
experience,2,2.845720565617302
guided,2,4.869376377269162
fact,3,2.3699240164787825
relation,1,3.001809700134425
perfectly,4,3.323451870557387
incapable,2,4.679755517993596
following,1,2.321477731267347
them,31,2.4217289503774255
step,8,3.8678157105759143
moments,1,2.4057569727609662
recovered,1,3.0434101526395705
clara,1,3.1797267097433215
evidently,2,3.0302231483576167
uttering,3,5.454967651607845
without,41,3.774702863722748
risking,1,5.7967169453299014
loss,4,3.9421565748628162
illness,1,3.0522991000568167
mistake,1,2.757499559836172
since,10,2.995041484788286
more,33,2.5511372196898594
question,8,3.2081026728223745
married,16,4.247103478620063
sure,4,1.9930972027869356
regular,3,4.207624058846253
old,20,2.472057490365748
bachelor,2,4.7960945100777455
interrupted,1,2.889512349283504
henceforth,1,4.067029904744224
wherever,1,3.4559800863714796
young,10,2.08905662757259
wife,8,2.7055166761423304
put,5,1.8419537862255966
unnatural,1,3.98660833743365
repression,1,6.16136005891781
rebuke,1,4.6707056824736775
passion,5,3.579931842139189
degradation,1,4.474961105347582
defiled,1,6.012940053799538
page,1,3.0487340338923206
this,55,2.493639295647425
book,3,2.44324547953554
foul,1,3.8708475471580344
faith,3,3.3187789648579944
promise,3,3.0843550652350835
absolutely,4,4.036706174416427
refused,2,3.348349422179114
all,64,2.5637225087759954
gave,11,3.097969136890005
mother,4,1.4543555670484514
opportunity,3,3.593338502419304
detecting,1,6.547022539729795
what,37,2.2563888863469095
came,12,2.1596182338217953
softening,1,4.880426213455746
answer,3,2.23661828108189
last,8,2.034145031963075
articulate,1,5.742649724059626
distinctly,1,3.458657464142196
recovery,1,4.138488868726369
awakened,2,4.50503856058486
longing,1,3.2275031890819075
return,4,2.7548435157780555
busy,2,3.311810295541901
world,13,2.833009118058597
africa,2,4.931719507843297
both,5,2.2345666745862145
pip,2,4.21831114214353
cob,1,5.205848613890375
each,11,3.14832382079901
soul,10,3.610977827170899
tread,1,3.946513880231772
walk,2,2.1183087910832605
abreast,1,5.319792873239592
where,12,2.307955355978077
double,7,4.957133423414665
seed,1,3.9206503696418524
ruby,1,5.237101157394479
pin,4,5.624041265327075
instead,2,2.612317549991674
satin,1,3.781813924787637
waistcoat,2,4.114958371316175
bestowal,1,6.982340610987641
caress,1,4.652848065073671
praise,1,3.1321930092775823
felt,6,2.109575111114506
piece,2,2.6420833891900544
furniture,2,3.6566507818336307
worth,4,3.3720371376868643
five,6,3.139635205089566
twins,1,5.530088282075953
attempt,4,3.951987347645944
lapsed,2,6.18156276623533
into,34,2.6917519087404513
complete,4,3.967474382847106
silence,4,2.687842015676029
faces,2,2.929765461641835
right,7,2.2612939676137476
lines,1,2.479505219740839
turned,8,2.530476742536049
most,7,2.0955129575973794
though,16,2.751533350557601
murmured,2,2.9537474263283205
hurried,3,3.718433481370693
duplication,1,9.380235883786012
service,1,2.0043537355709993
chapel,1,3.5309111038391525
clouds,1,2.920331429408477
snowy,1,4.5762148390527555
moonlit,1,4.826358992185471
peak,1,5.146129379188753
star,10,5.1890671369283705
soaring,1,5.448410251061686
passionate,1,2.9361046270855713
blue,5,3.0127350392606775
neck,5,3.753334453465768
form,3,2.90275083183101
carved,1,3.9421565748628162
emblem,1,5.7693179711417875
forsytes,1,4.858447306736971
great,15,2.4024755290055886
