nodeA,nodeB,weight
Clara Valence,Vaughan,24
Calva,Vaughan,12
King Charles,Vaughan,12
Sussex,Vaughan,12
Vaughan,a Roundhead Squadron,12
Major Vaughan,Vaughan,12
Oxgall,Vaughan,240
Georgiana,Vaughan,12
Sweet,Vaughan,12
Isola Ross,Vaughan,60
Cora,Vaughan,516
Ross,Vaughan,204
Charley Shelfer,Vaughan,12
Devon,Vaughan,72
Hiatt,Vaughan,24
Master Roderick Blount,Vaughan,12
Cooky,Vaughan,24
Clara Waun,Vaughan,12
Valence,Vaughan,12
Jim,Vaughan,48
Ben,Vaughan,48
Charley Shelfer's,Vaughan,12
Henry Valentine,Vaughan,12
John Huxtable,Vaughan,72
Cerberus,Vaughan,12
Queen Victoria,Vaughan,12
Joe the Queen's,Vaughan,12
Joe,Vaughan,60
Joe Queen's,Vaughan,24
Murphy,Vaughan,12
Conrad,Vaughan,228
Sandy,Vaughan,24
Farmer Huxtable,Vaughan,36
Vaughan,Worn,12
Vaughan,Wenham,12
Franks,Vaughan,144
Isola,Vaughan,108
Mocha,Vaughan,12
Miss Idols,Vaughan,96
Conny,Vaughan,468
Gloucestershire,Vaughan,12
North Devon,Vaughan,12
"Shelfer - """,Vaughan,12
John,Vaughan,96
Grandmother,Vaughan,12
Merry-Andrews,Vaughan,12
Donna,Vaughan,168
Judy,Vaughan,636
Aurora,Vaughan,12
Churchman,Vaughan,12
Bob Ridley,Vaughan,24
Bob,Vaughan,84
Dantzic,Vaughan,12
God,Vaughan,60
Frank,Vaughan,12
George Robins,Vaughan,12
Portia,Vaughan,12
Vaughan,Violante,12
George Cutting,Vaughan,36
Tossil,Vaughan,12
Byron,Vaughan,12
Babby,Vaughan,12
Muxworthy,Vaughan,12
Bobby,Vaughan,24
Peggy,Vaughan,12
Queen Victoria's,Vaughan,12
Sister Muxworthy,Vaughan,12
Hexmoor,Vaughan,12
Beany Dawe's,Vaughan,24
Abraham Cann,Vaughan,12
Abraham,Vaughan,12
Cornisher,Vaughan,12
Henwood,Vaughan,12
Fletcher,Vaughan,444
Bob - Charley,Vaughan,12
"Squire Vaughan - """,Vaughan,12
Robert,Vaughan,36
Churchyard,Vaughan,48
Cheltenham,Vaughan,60
Him,Vaughan,12
Lilla,Vaughan,24
Gamekeeper Hiatt,Vaughan,12
Good Jane,Vaughan,12
Hurrah,Vaughan,12
Vaughan,Whitehead,36
Clara Vaughan's,Vaughan,12
Elder,Vaughan,12
Dorcas,Vaughan,12
"Balak"" - the",Vaughan,12
Balaam,Vaughan,120
Balak,Vaughan,348
Regency Park,Vaughan,12
"Minto - """,Vaughan,12
Quinlan,Vaughan,24
Maiden Lane,Vaughan,12
Vaughan,William John,12
Presently Balaam,Vaughan,12
Somers,Vaughan,12
Jellycorse,Vaughan,12
Dallyhorse,Vaughan,12
Rum,Vaughan,12
Dante,Vaughan,12
Darling Idols,Vaughan,12
Annie Franks,Vaughan,84
Dickens,Vaughan,12
Gregory,Vaughan,12
Marry,Vaughan,12
Vaughan,William Edwards,36
