nodeA,nodeB,weight
Miss Charteris,bin,43
Lucy,Miss Charteris,86
Clara,Miss Charteris,86
Miss Charteris,Sarah,43
Miss Charteris,Sally,43
Amelia,Miss Charteris,43
Caroline,Miss Charteris,43
Miss Charteris,Miss Hann,344
Hann,Miss Charteris,172
E'll,Miss Charteris,43
M. A. Chelsea,Miss Charteris,43
Baby Boy,Miss Charteris,43
Miss Charteris,Russell,43
Ann,Miss Charteris,2666
Miss Charteris,Ran,43
Kenrick Harvey,Miss Charteris,43
Ann Harvey's,Miss Charteris,43
Miss Charteris,Miss Harvey,43
Ann Harvey,Miss Charteris,172
Kenrick,Miss Charteris,301
Miss Ann,Miss Charteris,473
Emma,Miss Charteris,387
Miss Ann's,Miss Charteris,86
Miss Charteris,Sweet,43
Miss Charteris,Miss Christobel,86
Miss Charteris,Sweetie,43
Lady Goldsmith,Miss Charteris,172
Boulogne,Miss Charteris,86
Miss Charteris,Slinker,129
Miss Charteris,Taylor,215
Miss Charteris,Southwark Cathedral,43
Miss Charteris,Sevenoaks,43
Library,Miss Charteris,43
Bill,Miss Charteris,43
Chelsea,Miss Charteris,43
Lively,Miss Charteris,43
Miss Charteris,Saint Mark,43
Darling Christobel,Miss Charteris,43
Miss Charteris,Sanskrit,43
Fanks,Little Boy Blue,20
Charteris,Fanks,156
Fanks,Joan,4
Diana,Fanks,8
Boy Blue,Fanks,12
Boy,Fanks,32
Fanks,Fanks,6
Fanks,Hush,8
Fanks,Jenkins,60
Fanks,Noah,4
Fanks,William Allen Richardson,4
Fanks,Pickwick,4
Fanks,Maid,4
Elizabeth,Fanks,8
Fanks,Goody,4
Fanks,bin,4
Fanks,Lucy,8
Clara,Fanks,8
Fanks,Sarah,4
Fanks,Sally,4
Amelia,Fanks,4
Caroline,Fanks,4
Fanks,Miss Hann,32
Fanks,Hann,16
E'll,Fanks,4
Fanks,M. A. Chelsea,4
Baby Boy,Fanks,4
Fanks,Russell,4
Ann,Fanks,248
Fanks,Ran,4
Fanks,Kenrick Harvey,4
Ann Harvey's,Fanks,4
Fanks,Miss Harvey,4
Ann Harvey,Fanks,16
Fanks,Kenrick,28
Fanks,Miss Ann,44
Emma,Fanks,36
Fanks,Miss Ann's,8
Fanks,Sweet,4
Fanks,Miss Christobel,8
Fanks,Sweetie,4
Fanks,Lady Goldsmith,16
Boulogne,Fanks,8
Fanks,Slinker,12
Fanks,Taylor,20
Fanks,Southwark Cathedral,4
Fanks,Sevenoaks,4
Fanks,Library,4
Bill,Fanks,4
Chelsea,Fanks,4
Fanks,Lively,4
Fanks,Saint Mark,4
Darling Christobel,Fanks,4
Fanks,Sanskrit,4
Little Boy Blue,Little Boy Blue,10
Charteris,Little Boy Blue,195
Joan,Little Boy Blue,5
Diana,Little Boy Blue,10
Boy Blue,Little Boy Blue,15
Boy,Little Boy Blue,40
Hush,Little Boy Blue,10
Jenkins,Little Boy Blue,75
Little Boy Blue,Noah,5
Little Boy Blue,William Allen Richardson,5
Little Boy Blue,Pickwick,5
Little Boy Blue,Maid,5
Elizabeth,Little Boy Blue,10
Goody,Little Boy Blue,5
Little Boy Blue,bin,5
Little Boy Blue,Lucy,10
Clara,Little Boy Blue,10
Little Boy Blue,Sarah,5
Little Boy Blue,Sally,5
Amelia,Little Boy Blue,5
Caroline,Little Boy Blue,5
Little Boy Blue,Miss Hann,40
Hann,Little Boy Blue,20
E'll,Little Boy Blue,5
Little Boy Blue,M. A. Chelsea,5
Baby Boy,Little Boy Blue,5
Little Boy Blue,Russell,5
Ann,Little Boy Blue,310
Little Boy Blue,Ran,5
Kenrick Harvey,Little Boy Blue,5
Ann Harvey's,Little Boy Blue,5
Little Boy Blue,Miss Harvey,5
Ann Harvey,Little Boy Blue,20
Kenrick,Little Boy Blue,35
Little Boy Blue,Miss Ann,55
Emma,Little Boy Blue,45
Little Boy Blue,Miss Ann's,10
Little Boy Blue,Sweet,5
Little Boy Blue,Miss Christobel,10
Little Boy Blue,Sweetie,5
Lady Goldsmith,Little Boy Blue,20
Boulogne,Little Boy Blue,10
Little Boy Blue,Slinker,15
Little Boy Blue,Taylor,25
Little Boy Blue,Southwark Cathedral,5
Little Boy Blue,Sevenoaks,5
Library,Little Boy Blue,5
Bill,Little Boy Blue,5
Chelsea,Little Boy Blue,5
Little Boy Blue,Lively,5
Little Boy Blue,Saint Mark,5
Darling Christobel,Little Boy Blue,5
Little Boy Blue,Sanskrit,5
Charteris,Joan,39
Charteris,Diana,78
Boy Blue,Charteris,117
Boy,Charteris,312
Charteris,Hush,78
Charteris,Charteris,741
Charteris,Jenkins,585
Charteris,Noah,39
Charteris,William Allen Richardson,39
Charteris,Pickwick,39
Charteris,Maid,39
Charteris,Elizabeth,78
Charteris,Goody,39
Charteris,bin,39
Charteris,Lucy,78
Charteris,Clara,78
Charteris,Sarah,39
Charteris,Sally,39
Amelia,Charteris,39
Caroline,Charteris,39
Charteris,Miss Hann,312
Charteris,Hann,156
Charteris,E'll,39
Charteris,M. A. Chelsea,39
