nodeA,nodeB,weight
Ephraim Tellwright,Jimmy,16
Dean,Ephraim Tellwright,10
Churchman,Ephraim Tellwright,1
Emanuel,Ephraim Tellwright,6
Ephraim Tellwright,Georgiana,20
Ephraim Tellwright,Jarndyce,5
Ephraim Tellwright,Kiel,1
Ephraim Tellwright,Flora Prockter,1
Ephraim Tellwright,Flora,1
Ephraim Tellwright,Ted,1
Ephraim Tellwright,Ronald,1
Ephraim Tellwright,Ronald Swetnam,1
Ephraim Tellwright,Jos,3
Ephraim Tellwright,Jos Swetman,1
Ephraim Tellwright,Jos Swetnam,3
Emanuel Prockter's,Ephraim Tellwright,1
Ephraim Tellwright,Joe,1
Benskin,Ephraim Tellwright,2
Andrew,Ephraim Tellwright,10
Ephraim Tellwright,Wilbrahams,4
Carey,Ephraim Tellwright,1
Ephraim Tellwright,Oldcastle,1
Ephraim Tellwright,Miser,1
Ephraim Tellwright,Ye,1
Ephraim Tellwright,Machiavelli,1
Ephraim Tellwright,Hanbridge,1
Crewe,Ephraim Tellwright,4
Bass,Ephraim Tellwright,1
Ephraim Tellwright,Helen - she,1
Edinburgh,Ephraim Tellwright,1
Ephraim Tellwright,Welsh,1
Ephraim Tellwright,Hurrah,1
Crump,Ephraim Tellwright,6
Ephraim Tellwright,Ezra Brunt,1
Ephraim Tellwright,Hall,2
Emanuel Prockter - I,Ephraim Tellwright,1
Ephraim Tellwright,Ye'll,1
Ephraim Tellwright,Light,1
Ephraim Tellwright,Glad,1
Ephraim Tellwright,Paisley,1
Ephraim Tellwright,Swetnams,1
Ephraim Tellwright,Joshua,1
Ephraim Tellwright,Mont Blanc,1
Don Juan,Ephraim Tellwright,1
Ephraim Tellwright,Norseman,1
Buchanan,Ephraim Tellwright,2
Derby,Ephraim Tellwright,1
Bechstein,Ephraim Tellwright,1
Ephraim Tellwright,Wiltshire,3
Ephraim Tellwright,Hush,1
Ephraim Tellwright,Nottingham,1
Ephraim Tellwright,Lilian Swetnam,1
Ephraim Tellwright,Fritz,3
Dickens,Ephraim Tellwright,1
Charles Dickens,Ephraim Tellwright,1
Susan,Susan,435
Longshaw,Susan,420
Rathbone,Susan,90
